step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
6060,H,1,methanol,hexane,-0.94985,0.815803,-0.48588,0.00061434,mol7_hexane_1040_s_hexane_15,mol7_hexane_1040_s_hexane_152,-115.6760413,-115.675855,-9.66E-06,-0.00018632,-115.6760317,-0.000176659
6060,H,1,methanol,hexane,-0.471335,-0.874909,-0.524808,0.00034456,mol7_hexane_1040_s_hexane_15,mol7_hexane_1040_s_hexane_153,-115.6760413,-115.675855,-9.66E-06,-0.00018632,-115.6760317,-0.000176659
6060,H,1,methanol,hexane,-0.763029,-0.10499,1.050069,0.00042354,mol7_hexane_1040_s_hexane_15,mol7_hexane_1040_s_hexane_154,-115.6760413,-115.675855,-9.66E-06,-0.00018632,-115.6760317,-0.000176659
6060,H,1,methanol,hexane,1.548396,-0.323645,-0.015108,0.00158543,mol7_hexane_1040_s_hexane_15,mol7_hexane_1040_s_hexane_155,-115.6760413,-115.675855,-9.66E-06,-0.00018632,-115.6760317,-0.000176659
6061,C,6,methanol,hexane,-0.34132,0.04832,0.01975,0.00067215,mol7_hexane_1040_s_hexane_25,mol7_hexane_1040_s_hexane_250,-115.6760742,-115.675855,-4.29E-05,-0.00021916,-115.6760313,-0.000176251
6061,O,8,methanol,hexane,0.999138,0.446721,-0.040656,0.00179132,mol7_hexane_1040_s_hexane_25,mol7_hexane_1040_s_hexane_251,-115.6760742,-115.675855,-4.29E-05,-0.00021916,-115.6760313,-0.000176251
6061,H,1,methanol,hexane,-0.94985,0.815803,-0.48588,0.00060597,mol7_hexane_1040_s_hexane_25,mol7_hexane_1040_s_hexane_252,-115.6760742,-115.675855,-4.29E-05,-0.00021916,-115.6760313,-0.000176251
6061,H,1,methanol,hexane,-0.471335,-0.874909,-0.524808,0.00035675,mol7_hexane_1040_s_hexane_25,mol7_hexane_1040_s_hexane_253,-115.6760742,-115.675855,-4.29E-05,-0.00021916,-115.6760313,-0.000176251
6061,H,1,methanol,hexane,-0.763029,-0.10499,1.050069,0.00042943,mol7_hexane_1040_s_hexane_25,mol7_hexane_1040_s_hexane_254,-115.6760742,-115.675855,-4.29E-05,-0.00021916,-115.6760313,-0.000176251
6061,H,1,methanol,hexane,1.548396,-0.323645,-0.015108,0.00161627,mol7_hexane_1040_s_hexane_25,mol7_hexane_1040_s_hexane_255,-115.6760742,-115.675855,-4.29E-05,-0.00021916,-115.6760313,-0.000176251
6063,C,6,methanol,hexane,-0.34507,0.04535,0.01957,0.00067467,mol7_hexane_1041_s_hexane_15,mol7_hexane_1041_s_hexane_150,-115.6764782,-115.6762818,-9.66E-06,-0.00019645,-115.6764685,-0.000186785
6063,O,8,methanol,hexane,0.995304,0.444264,-0.039302,0.0018079,mol7_hexane_1041_s_hexane_15,mol7_hexane_1041_s_hexane_151,-115.6764782,-115.6762818,-9.66E-06,-0.00019645,-115.6764685,-0.000186785
6063,H,1,methanol,hexane,-0.953365,0.812831,-0.486345,0.00062264,mol7_hexane_1041_s_hexane_15,mol7_hexane_1041_s_hexane_152,-115.6764782,-115.6762818,-9.66E-06,-0.00019645,-115.6764685,-0.000186785
6063,H,1,methanol,hexane,-0.484196,-0.877685,-0.525545,0.00035015,mol7_hexane_1041_s_hexane_15,mol7_hexane_1041_s_hexane_153,-115.6764782,-115.6762818,-9.66E-06,-0.00019645,-115.6764685,-0.000186785
6063,H,1,methanol,hexane,-0.747783,-0.088514,1.059331,0.0004363,mol7_hexane_1041_s_hexane_15,mol7_hexane_1041_s_hexane_154,-115.6764782,-115.6762818,-9.66E-06,-0.00019645,-115.6764685,-0.000186785
6063,H,1,methanol,hexane,1.54479,-0.325856,-0.003531,0.00160969,mol7_hexane_1041_s_hexane_15,mol7_hexane_1041_s_hexane_155,-115.6764782,-115.6762818,-9.66E-06,-0.00019645,-115.6764685,-0.000186785
6064,C,6,methanol,hexane,-0.34507,0.04535,0.01957,0.00068227,mol7_hexane_1041_s_hexane_25,mol7_hexane_1041_s_hexane_250,-115.676511,-115.6762818,-4.28E-05,-0.00022927,-115.6764682,-0.000186432
6064,O,8,methanol,hexane,0.995304,0.444264,-0.039302,0.00182959,mol7_hexane_1041_s_hexane_25,mol7_hexane_1041_s_hexane_251,-115.676511,-115.6762818,-4.28E-05,-0.00022927,-115.6764682,-0.000186432
6064,H,1,methanol,hexane,-0.953365,0.812831,-0.486345,0.00061467,mol7_hexane_1041_s_hexane_25,mol7_hexane_1041_s_hexane_252,-115.676511,-115.6762818,-4.28E-05,-0.00022927,-115.6764682,-0.000186432
6064,H,1,methanol,hexane,-0.484196,-0.877685,-0.525545,0.00036261,mol7_hexane_1041_s_hexane_25,mol7_hexane_1041_s_hexane_253,-115.676511,-115.6762818,-4.28E-05,-0.00022927,-115.6764682,-0.000186432
6064,H,1,methanol,hexane,-0.747783,-0.088514,1.059331,0.00044252,mol7_hexane_1041_s_hexane_25,mol7_hexane_1041_s_hexane_254,-115.676511,-115.6762818,-4.28E-05,-0.00022927,-115.6764682,-0.000186432
6064,H,1,methanol,hexane,1.54479,-0.325856,-0.003531,0.00164065,mol7_hexane_1041_s_hexane_25,mol7_hexane_1041_s_hexane_255,-115.676511,-115.6762818,-4.28E-05,-0.00022927,-115.6764682,-0.000186432
6066,C,6,methanol,hexane,-0.37613,0.03393,0.01978,0.00087374,mol7_hexane_1048_s_hexane_15,mol7_hexane_1048_s_hexane_150,-115.6760193,-115.6756978,-9.67E-06,-0.00032146,-115.6760096,-0.000311793
6066,O,8,methanol,hexane,0.983364,0.445662,-0.02974,0.00236487,mol7_hexane_1048_s_hexane_15,mol7_hexane_1048_s_hexane_151,-115.6760193,-115.6756978,-9.67E-06,-0.00032146,-115.6760096,-0.000311793
6066,H,1,methanol,hexane,-0.937079,0.813777,-0.479394,0.00080532,mol7_hexane_1048_s_hexane_15,mol7_hexane_1048_s_hexane_152,-115.6760193,-115.6756978,-9.67E-06,-0.00032146,-115.6760096,-0.000311793
