step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
1757,H,1,methanol,acetonitrile,-0.169117,1.566275,-0.395717,0.00045702,mol2_acetonitrile_1026_s_acetonitrile_25,mol2_acetonitrile_1026_s_acetonitrile_255,-115.6746173,-115.6709875,-0.004390294,-0.00362989,-115.670227,0.000760404
1759,C,6,methanol,acetonitrile,-0.03315,-0.32188,0.0883,0.00780892,mol2_acetonitrile_1029_s_acetonitrile_15,mol2_acetonitrile_1029_s_acetonitrile_150,-115.6714969,-115.6687893,-0.003650453,-0.00270759,-115.6678464,0.000942863
1759,O,8,methanol,acetonitrile,0.501973,0.86736,-0.56893,0.00591929,mol2_acetonitrile_1029_s_acetonitrile_15,mol2_acetonitrile_1029_s_acetonitrile_151,-115.6714969,-115.6687893,-0.003650453,-0.00270759,-115.6678464,0.000942863
1759,H,1,methanol,acetonitrile,0.644252,-0.545111,0.949517,0.00732982,mol2_acetonitrile_1029_s_acetonitrile_15,mol2_acetonitrile_1029_s_acetonitrile_152,-115.6714969,-115.6687893,-0.003650453,-0.00270759,-115.6678464,0.000942863
1759,H,1,methanol,acetonitrile,-1.084277,-0.369236,0.525895,0.01101266,mol2_acetonitrile_1029_s_acetonitrile_15,mol2_acetonitrile_1029_s_acetonitrile_153,-115.6714969,-115.6687893,-0.003650453,-0.00270759,-115.6678464,0.000942863
1759,H,1,methanol,acetonitrile,0.105724,-1.181403,-0.592534,0.00591135,mol2_acetonitrile_1029_s_acetonitrile_15,mol2_acetonitrile_1029_s_acetonitrile_154,-115.6714969,-115.6687893,-0.003650453,-0.00270759,-115.6678464,0.000942863
1759,H,1,methanol,acetonitrile,-0.126238,1.559094,-0.419412,0.00750747,mol2_acetonitrile_1029_s_acetonitrile_15,mol2_acetonitrile_1029_s_acetonitrile_155,-115.6714969,-115.6687893,-0.003650453,-0.00270759,-115.6678464,0.000942863
1760,C,6,methanol,acetonitrile,-0.03315,-0.32188,0.0883,0.00220523,mol2_acetonitrile_1029_s_acetonitrile_25,mol2_acetonitrile_1029_s_acetonitrile_250,-115.6724469,-115.6687893,-0.004430586,-0.00365757,-115.6680163,0.000773016
1760,O,8,methanol,acetonitrile,0.501973,0.86736,-0.56893,-0.00026727,mol2_acetonitrile_1029_s_acetonitrile_25,mol2_acetonitrile_1029_s_acetonitrile_251,-115.6724469,-115.6687893,-0.004430586,-0.00365757,-115.6680163,0.000773016
1760,H,1,methanol,acetonitrile,0.644252,-0.545111,0.949517,0.00167226,mol2_acetonitrile_1029_s_acetonitrile_25,mol2_acetonitrile_1029_s_acetonitrile_252,-115.6724469,-115.6687893,-0.004430586,-0.00365757,-115.6680163,0.000773016
1760,H,1,methanol,acetonitrile,-1.084277,-0.369236,0.525895,0.00527026,mol2_acetonitrile_1029_s_acetonitrile_25,mol2_acetonitrile_1029_s_acetonitrile_253,-115.6724469,-115.6687893,-0.004430586,-0.00365757,-115.6680163,0.000773016
1760,H,1,methanol,acetonitrile,0.105724,-1.181403,-0.592534,0.00116854,mol2_acetonitrile_1029_s_acetonitrile_25,mol2_acetonitrile_1029_s_acetonitrile_254,-115.6724469,-115.6687893,-0.004430586,-0.00365757,-115.6680163,0.000773016
1760,H,1,methanol,acetonitrile,-0.126238,1.559094,-0.419412,0.00048893,mol2_acetonitrile_1029_s_acetonitrile_25,mol2_acetonitrile_1029_s_acetonitrile_255,-115.6724469,-115.6687893,-0.004430586,-0.00365757,-115.6680163,0.000773016
1762,C,6,methanol,acetonitrile,-0.0442,-0.32748,0.09023,0.00820361,mol2_acetonitrile_1038_s_acetonitrile_15,mol2_acetonitrile_1038_s_acetonitrile_150,-115.6731259,-115.6707117,-0.003433575,-0.00241426,-115.6696923,0.001019315
1762,O,8,methanol,acetonitrile,0.520011,0.801544,-0.597935,0.00648429,mol2_acetonitrile_1038_s_acetonitrile_15,mol2_acetonitrile_1038_s_acetonitrile_151,-115.6731259,-115.6707117,-0.003433575,-0.00241426,-115.6696923,0.001019315
1762,H,1,methanol,acetonitrile,0.586241,-0.522516,0.978827,0.00769941,mol2_acetonitrile_1038_s_acetonitrile_15,mol2_acetonitrile_1038_s_acetonitrile_152,-115.6731259,-115.6707117,-0.003433575,-0.00241426,-115.6696923,0.001019315
1762,H,1,methanol,acetonitrile,-1.023422,-0.304,0.541752,0.01131853,mol2_acetonitrile_1038_s_acetonitrile_15,mol2_acetonitrile_1038_s_acetonitrile_153,-115.6731259,-115.6707117,-0.003433575,-0.00241426,-115.6696923,0.001019315
1762,H,1,methanol,acetonitrile,0.030724,-1.206272,-0.571972,0.00623639,mol2_acetonitrile_1038_s_acetonitrile_15,mol2_acetonitrile_1038_s_acetonitrile_154,-115.6731259,-115.6707117,-0.003433575,-0.00241426,-115.6696923,0.001019315
1762,H,1,methanol,acetonitrile,-0.076212,1.563939,-0.435232,0.00822914,mol2_acetonitrile_1038_s_acetonitrile_15,mol2_acetonitrile_1038_s_acetonitrile_155,-115.6731259,-115.6707117,-0.003433575,-0.00241426,-115.6696923,0.001019315
1763,C,6,methanol,acetonitrile,-0.0442,-0.32748,0.09023,0.0025594,mol2_acetonitrile_1038_s_acetonitrile_25,mol2_acetonitrile_1038_s_acetonitrile_250,-115.6739795,-115.6707117,-0.004080968,-0.00326787,-115.6698986,0.000813098
1763,O,8,methanol,acetonitrile,0.520011,0.801544,-0.597935,0.00030242,mol2_acetonitrile_1038_s_acetonitrile_25,mol2_acetonitrile_1038_s_acetonitrile_251,-115.6739795,-115.6707117,-0.004080968,-0.00326787,-115.6698986,0.000813098
1763,H,1,methanol,acetonitrile,0.586241,-0.522516,0.978827,0.00197918,mol2_acetonitrile_1038_s_acetonitrile_25,mol2_acetonitrile_1038_s_acetonitrile_252,-115.6739795,-115.6707117,-0.004080968,-0.00326787,-115.6698986,0.000813098
1763,H,1,methanol,acetonitrile,-1.023422,-0.304,0.541752,0.00547219,mol2_acetonitrile_1038_s_acetonitrile_25,mol2_acetonitrile_1038_s_acetonitrile_253,-115.6739795,-115.6707117,-0.004080968,-0.00326787,-115.6698986,0.000813098
1763,H,1,methanol,acetonitrile,0.030724,-1.206272,-0.571972,0.0014595,mol2_acetonitrile_1038_s_acetonitrile_25,mol2_acetonitrile_1038_s_acetonitrile_254,-115.6739795,-115.6707117,-0.004080968,-0.00326787,-115.6698986,0.000813098
1763,H,1,methanol,acetonitrile,-0.076212,1.563939,-0.435232,0.00115149,mol2_acetonitrile_1038_s_acetonitrile_25,mol2_acetonitrile_1038_s_acetonitrile_255,-115.6739795,-115.6707117,-0.004080968,-0.00326787,-115.6698986,0.000813098
1765,C,6,methanol,acetonitrile,-0.08895,-0.29858,0.10713,0.00847635,mol2_acetonitrile_1078_s_acetonitrile_15,mol2_acetonitrile_1078_s_acetonitrile_150,-115.674866,-115.6727468,-0.002929313,-0.00211923,-115.6719367,0.000810082
1765,O,8,methanol,acetonitrile,0.606085,0.59127,-0.789136,0.00591248,mol2_acetonitrile_1078_s_acetonitrile_15,mol2_acetonitrile_1078_s_acetonitrile_151,-115.674866,-115.6727468,-0.002929313,-0.00211923,-115.6719367,0.000810082
1765,H,1,methanol,acetonitrile,0.466656,-0.510244,1.079293,0.00867087,mol2_acetonitrile_1078_s_acetonitrile_15,mol2_acetonitrile_1078_s_acetonitrile_152,-115.674866,-115.6727468,-0.002929313,-0.00211923,-115.6719367,0.000810082
